Scala-Nr.;R;G;B;HBW;RAL
36.06.33;65;45;56;5,6;
36.09.06;238;212;222;73,1;
36.09.09;239;197;213;65,6;
36.09.12;234;179;201;56,3;
36.09.15;222;152;184;44,3;
36.09.18;194;128;157;32,2;
36.09.21;170;103;135;22,4;
36.09.24;142;77;111;14,4;
36.09.27;114;56;89;9,2;
36.09.30;86;41;69;5,7;
36.09.33;77;49;69;6,3;RAL 4007
36.09.36;58;34;48;4,8;
36.12.21;195;97;142;24,8;RAL 4003
36.12.24;159;66;116;14,8;
36.12.27;131;52;96;10,0;
36.15.21;186;69;123;18,9;RAL 4010
36.15.24;166;55;109;14,1;
36.15.27;132;51;86;9,9;
39.06.06;233;220;225;75,7;
39.06.09;221;209;213;68,4;
39.06.12;206;195;201;58,6;
39.06.15;182;173;180;45,5;
39.06.18;154;143;149;31,0;
39.06.21;135;121;129;22,5;
39.06.24;112;98;105;15,1;
39.06.27;87;73;85;9,3;
39.06.30;70;65;65;6,8;RAL 8019
39.09.09;224;206;214;67,2;
39.09.12;210;190;200;57,2;
39.09.15;191;169;183;45,3;
39.09.18;166;142;156;32,3;
39.09.21;155;132;145;27,8;RAL 4009
39.09.24;121;94;113;15,2;
39.09.27;94;65;86;8,7;
39.12.09;234;204;216;67,3;
39.12.12;217;185;203;56,2;
39.12.15;197;160;183;43,0;
39.12.18;180;138;165;33,0;
39.12.21;152;111;136;21,9;
39.12.24;126;88;114;14,6;
39.12.27;103;61;94;8,9;
39.15.09;240;219;228;76,7;
39.15.12;230;175;206;54,9;
39.15.15;221;153;194;44,4;
39.15.18;199;126;170;32,3;
39.15.21;167;107;143;23,0;
39.15.24;134;79;115;14,0;
39.15.27;117;62;99;10,2;
39.15.30;80;42;73;5,9;
39.18.21;186;97;153;23,1;
39.18.24;145;58;118;12,8;RAL 4006
42.03.03;231;230;227;82,0;
42.03.06;220;217;215;72,9;
42.03.09;211;208;205;66,5;
42.03.12;199;196;194;58,8;
42.03.15;173;169;167;42,8;
42.03.18;152;148;148;32,1;RAL 7036
42.03.21;132;129;129;24,5;
42.03.24;117;115;115;19,7;
42.03.27;105;102;103;15,7;
42.03.30;85;81;81;10,8;
42.06.03;234;233;232;83,5;
42.06.06;231;222;225;77,0;
42.06.09;215;206;211;65,2;
42.06.12;203;194;199;57,8;
42.06.15;183;173;179;45,7;
42.06.18;159;147;156;32,8;
42.06.21;135;124;130;23,2;
42.06.24;107;97;105;15,3;
42.06.27;91;77;91;10,4;
42.09.18;136;118;133;31,4;
42.09.21;137;116;138;21,9;
42.09.24;115;95;117;15,0;
42.09.27;91;70;95;9,4;
42.12.06;240;218;230;76,4;
42.12.09;227;204;218;66,8;
42.12.12;214;188;205;57,1;
42.12.15;197;164;188;44,6;
42.12.18;174;138;167;32,3;
42.12.21;147;112;143;22,0;
42.12.24;132;98;133;17,6;RAL 4001
42.15.15;205;161;194;44,9;
42.15.18;186;137;177;34,1;
42.15.21;160;108;152;22,4;
42.15.24;132;87;127;14,2;
42.15.27;100;66;101;9,5;
42.15.30;73;50;76;5,8;
42.18.15;217;151;201;44,1;
42.18.18;199;126;183;33,4;
42.18.21;172;99;162;22,7;
42.18.24;142;71;136;14,8;
42.18.27;123;51;104;10,0;
42.21.12;217;183;215;56,2;
42.21.15;202;162;205;45,5;
42.21.18;176;133;186;31,8;
42.21.21;159;108;164;23,2;
42.21.24;136;79;132;14,3;RAL 4008
42.21.27;113;58;114;9,9;
42.ME.01;151;150;147;~ 25;DB 701
45.06.03;236;234;236;84,2;
45.06.06;227;225;227;77,5;
45.06.09;211;208;213;65,8;
45.06.12;190;186;193;52,5;
45.06.15;180;177;183;46,9;
45.06.18;149;146;154;31,6;
45.06.21;129;125;133;23,4;
45.06.24;103;98;106;15,2;
45.06.27;83;79;89;9,9;
45.06.30;63;61;74;6,2;
45.09.06;234;232;236;83,5;
45.09.09;216;206;216;65,8;
45.09.12;202;190;203;56,0;
45.09.15;187;174;192;47,4;
45.09.18;165;151;168;35,3;
45.09.21;136;124;145;23,7;
45.09.24;108;97;120;14,8;
45.09.27;85;72;99;9,4;
45.09.30;70;56;87;6,6;
45.12.06;225;219;233;74,6;
45.12.09;220;211;227;69,4;
45.12.12;204;191;215;57,8;
45.12.15;185;170;200;46,0;
45.12.18;157;147;169;33,4;
45.12.21;137;119;156;22,8;
45.12.24;116;97;133;16,1;
45.12.27;90;69;109;9,5;
45.15.21;143;117;150;22,9;
45.15.24;119;93;127;14,9;
45.15.27;92;65;100;8,9;
45.18.12;206;190;220;57,7;
45.18.15;191;165;213;45,5;
45.18.18;169;137;196;32,7;
45.18.21;147;111;175;23,1;
45.18.24;122;84;151;14,8;
45.18.27;97;63;124;9,4;
45.18.30;72;45;89;6,0;
45.ME.01;140;137;134;~ 27;DB 702
48.06.06;218;221;229;74,6;
48.06.09;209;214;223;69,0;
48.06.12;192;196;204;57,2;
48.06.15;168;173;182;44,0;
48.06.18;147;151;160;33,0;
48.06.21;124;128;140;23,6;
48.06.24;96;99;113;14,6;
48.06.27;79;82;98;10,2;
48.06.30;57;58;72;6,0;
48.09.12;197;194;210;57,3;
48.09.15;180;174;196;46,3;
48.09.18;153;148;169;33,2;
48.09.21;129;123;147;23,1;
48.09.24;105;97;123;15,2;
48.09.27;82;75;100;9,4;
48.09.30;63;53;84;6,1;
48.12.09;215;209;232;68,1;
48.12.12;200;193;223;57,9;
48.12.15;179;171;199;45,0;
48.12.18;157;146;180;33,4;
48.12.21;127;106;156;19,0;RAL 4005
48.12.24;104;93;128;14,4;
48.12.27;84;73;108;9,4;
48.15.15;181;170;210;45,8;
48.15.18;159;146;192;33,9;
48.15.21;140;120;180;24,1;
48.15.24;116;91;158;15,6;
48.15.27;94;69;129;9,8;
48.15.30;74;53;103;6,7;
48.15.33;69;54;98;6,5;
48.18.24;105;80;147;12,7;
51.03.12;199;199;198;58,5;RAL 7047
51.03.18;154;154;155;34,4;RAL 7004
51.03.24;125;127;126;23,2;RAL 7037
51.06.06;220;220;226;75,4;
51.06.09;209;211;218;67,8;
51.06.12;194;195;205;57,3;
51.06.15;176;176;187;46,0;
51.06.18;152;151;162;33,9;
51.06.21;124;125;138;23,0;
51.06.24;102;103;119;15,9;
51.06.27;82;81;98;10,4;
51.06.30;58;57;71;5,9;
51.09.06;219;222;235;75,4;
51.09.09;207;211;225;67,4;
51.09.12;194;196;214;57,5;
51.09.15;174;174;196;45,7;
51.09.18;148;149;171;32,9;
51.09.21;122;123;150;22,6;
51.09.24;103;104;129;16,0;
51.09.27;81;81;107;10,1;
51.12.15;176;174;204;45,8;
51.12.18;148;149;180;33,2;
51.12.21;127;125;159;23,8;
51.12.24;106;105;144;17,0;
51.12.27;83;81;117;10,8;
51.12.30;55;55;96;5,9;RAL 5022
51.15.09;205;207;231;66,4;
51.15.12;188;190;228;55,1;
51.15.15;171;169;218;44,7;
51.15.18;156;154;203;36,6;
51.15.21;126;125;174;24,1;
51.15.24;102;98;147;15,6;
51.15.27;81;77;125;9,8;
51.15.30;64;56;112;7,0;
51.18.21;132;126;184;25,3;
51.18.24;108;101;160;16,7;
51.18.27;82;74;131;10,3;
51.ME.01;106;103;103;~ 14;DB 703
